date,date_value,Month Label,Value,Percentage
2027-03-15,2027-03-15,15 Mar 2027,01. Bescherming gezondheid burgers,88.0
2027-03-15,2027-03-15,15 Mar 2027,02. Gevolgen voor toegang tot zorg,87.0
2027-03-15,2027-03-15,15 Mar 2027,03. Bescherming kwetsbare groepen,86.0
2027-03-15,2027-03-15,15 Mar 2027,04. Transparantie,83.0
2027-03-15,2027-03-15,15 Mar 2027,05. Wetenschappelijke zekerheid,77.0
2027-03-15,2027-03-15,15 Mar 2027,06. Gevolgen mentale gezondheid en welzijn,70.0
2027-03-15,2027-03-15,15 Mar 2027,07. Uitvoerbaarheid en naleefbaarheid,68.0
2027-03-15,2027-03-15,15 Mar 2027,08. Lange termijneffecten,62.0
2027-03-15,2027-03-15,15 Mar 2027,09. Sociale gevolgen,61.0
2027-03-15,2027-03-15,15 Mar 2027,10. Vertrouwen,61.0
2027-03-15,2027-03-15,15 Mar 2027,11. Economische gevolgen,53.0
2027-03-15,2027-03-15,15 Mar 2027,12. Ongelijkheid en rechtvaardigheid,50.0
2027-03-15,2027-03-15,15 Mar 2027,13. Gevolgen vrijheid en autonomie,40.0
2027-03-29,2027-03-29,29 Mar 2027,01. Bescherming gezondheid burgers,88.0
2027-03-29,2027-03-29,29 Mar 2027,02. Gevolgen voor toegang tot zorg,87.0
2027-03-29,2027-03-29,29 Mar 2027,03. Bescherming kwetsbare groepen,86.0
2027-03-29,2027-03-29,29 Mar 2027,04. Transparantie,83.0
2027-03-29,2027-03-29,29 Mar 2027,05. Wetenschappelijke zekerheid,77.0
2027-03-29,2027-03-29,29 Mar 2027,06. Gevolgen mentale gezondheid en welzijn,70.0
2027-03-29,2027-03-29,29 Mar 2027,07. Uitvoerbaarheid en naleefbaarheid,68.0
2027-03-29,2027-03-29,29 Mar 2027,08. Lange termijneffecten,62.0
2027-03-29,2027-03-29,29 Mar 2027,09. Sociale gevolgen,61.0
2027-03-29,2027-03-29,29 Mar 2027,10. Vertrouwen,61.0
2027-03-29,2027-03-29,29 Mar 2027,11. Economische gevolgen,53.0
2027-03-29,2027-03-29,29 Mar 2027,12. Ongelijkheid en rechtvaardigheid,50.0
2027-03-29,2027-03-29,29 Mar 2027,13. Gevolgen vrijheid en autonomie,40.0
2027-04-12,2027-04-12,12 Apr 2027,01. Bescherming gezondheid burgers,88.0
2027-04-12,2027-04-12,12 Apr 2027,02. Gevolgen voor toegang tot zorg,87.0
2027-04-12,2027-04-12,12 Apr 2027,03. Bescherming kwetsbare groepen,86.0
2027-04-12,2027-04-12,12 Apr 2027,04. Transparantie,83.0
2027-04-12,2027-04-12,12 Apr 2027,05. Wetenschappelijke zekerheid,77.0
2027-04-12,2027-04-12,12 Apr 2027,06. Gevolgen mentale gezondheid en welzijn,70.0
2027-04-12,2027-04-12,12 Apr 2027,07. Uitvoerbaarheid en naleefbaarheid,68.0
2027-04-12,2027-04-12,12 Apr 2027,08. Lange termijneffecten,62.0
2027-04-12,2027-04-12,12 Apr 2027,09. Sociale gevolgen,61.0
2027-04-12,2027-04-12,12 Apr 2027,10. Vertrouwen,61.0
2027-04-12,2027-04-12,12 Apr 2027,11. Economische gevolgen,53.0
2027-04-12,2027-04-12,12 Apr 2027,12. Ongelijkheid en rechtvaardigheid,50.0
2027-04-12,2027-04-12,12 Apr 2027,13. Gevolgen vrijheid en autonomie,40.0
2027-04-26,2027-04-26,26 Apr 2027,01. Bescherming gezondheid burgers,88.0
2027-04-26,2027-04-26,26 Apr 2027,02. Gevolgen voor toegang tot zorg,87.0
2027-04-26,2027-04-26,26 Apr 2027,03. Bescherming kwetsbare groepen,86.0
